id;name;type;format;file_path
1;Refined;Beauty Account;Account Passage Toys;TCP
2;infrastructures redundant;reboot Generic;Gorgeous;online holistic mobile
3;Uzbekistan Belize Cotton;Electronics maximize Home;Assurance invoice;magenta Concrete
4;proactive Wooden;Cambridgeshire target blue;Cambridgeshire;sky optimize
5;Wooden Frozen;ROI;Automotive Architect;e-business
6;hack Plastic;blockchains sticky;Forint;Home
7;morph Arizona;area;payment magnetic;firewall Rhode Alaska
8;Steel redefine;Loan evolve;California Sports Tasty;models copying Wyoming
9;Intranet Account Ohio;Baby;24/7;THX
10;panel Outdoors;quantifying Metal Security;evolve Grocery;deposit
